"Ürün","Kategori","Alt Kategori","Saklama Koşulu","Raf Ömrü","Stok","Satış Fiyatı","Rezerv","Statü"
"Philadelphia Tam Yağlı Taze Peynir (125 g)","Süt & Kahvaltı","Peynir","+4","180","14","₺38,95","","Aktif"
"Philadelphia Milka Çikolatalı Krem Peynir (175 g)","Süt & Kahvaltı","Peynir","+4","180","6","₺31,95","","Aktif"
"Orvital Organik Dilimli Salam (60 g)","Süt & Kahvaltı","Şarküteri","+4","120","5","₺8,95","","Aktif"
"GOO.N Sensitive Islak Havlu (56 Yaprak)","Bebek","Bebek Bakım","Oda Koşulları","","6","₺9,95","","Aktif"
"Gimcat Malt Soft Extra Kedi Macunu Tüy Yumağı Engelleyici (20 g)","Evcil Hayvan","Kedi","Oda Koşulları","360","2","₺37,90","","Aktif"
"Boombastic Marshmallow Çikolatalı Bar (40 g)","Atıştırmalık","Bar","Oda Koşulları","365","72","₺2,75","","Aktif"
"Luppo Sandviç Kek (184 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","270","11","₺7,45","","Aktif"
"Biscolata Mood Çikolatalı (40 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","360","46","₺3,30","","Aktif"
"Fide İlikli Kemik Sulu Kelle Paça Çorbası (480 ml)","Temel Gıda","Çorba","Oda Koşulları","540","9","₺14,75","","Aktif"
"Greta Zeytinli & Kekikli Kraker (30 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","13","₺7,65","","Aktif"
"Luppo Karamelli Sandviç Kek (182 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","210","9","₺7,45","","Aktif"
"Biscolata Veni Çikolata Kremalı Gofret (110 g)","Atıştırmalık","Gofret","Oda Koşulları","360","14","₺4,90","","Aktif"
"Luppo Vişneli Sandviç Kek (182 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","210","4","₺7,45","","Aktif"
"Nutymax Ekstra Fındıklı Gofret (40 g)","Atıştırmalık","Gofret","Oda Koşulları","360","68","₺4,40","","Aktif"
"Knorr Körili Çabuk Makarna (70 g)","Yiyecek","Hazır Yemek","Oda Koşulları","360","8","₺5,75","","Aktif"
"Fairy Sıvı Bulaşık Deterjanı Limon (1500 ml)","Ev Bakım","Bulaşık","Oda Koşulları","","0","₺23,90","","Aktif"
"Pantene Onarıcı ve Koruyucu Bakım Şampuan (400 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","4","₺24,90","","Aktif"
"Mandalina (2 x 1 kg)","Meyve & Sebze","Meyve","+8-12","7","0","₺16,10","","İnaktif"
"Sensodyne Tam Koruma & Beyazlatıcı Diş Macunu (50 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","9","₺24,90","","Aktif"
"Sprite (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","365","27","₺4,15","","Aktif"
"La Vache Qui Rit Çedarlı Dilimli Peynir (320 g)","Süt & Kahvaltı","Peynir","+4","240","2","₺37,25","","Aktif"
"Türk Bayrağı (50 x 75 cm)","Ev & Yaşam","Diğer","Oda Koşulları","","6","₺17,95","","Aktif"
"Deveci Armudu (1 kg)","Meyve & Sebze","Meyve","+8-12","10","17","₺11,95","","Aktif"
"Hacı Şakir Özel Seri Kalıp Sabun (150 g)","Kişisel Bakım","Sabun","Oda Koşulları","","28","₺8,55","","Aktif"
"Feast Gurme Mini Churros Patates (550 g)","Yiyecek","Dondurulmuş","-18","720","31","₺10,95","","Aktif"
"Feast Tost Mania (190 g)","Yiyecek","Dondurulmuş","-18","360","22","₺14,25","","Aktif"
"Milka Oreo Sandwich Kakaolu Bisküvili Çikolata (92 g)","Atıştırmalık","Çikolata","Oda Koşulları","275","13","₺13,15","","Aktif"
"Bebeto Pick & Mix Party Paketi (750 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","","5","₺39,95","","Aktif"
"Elseve 6 Mucizevi Yağ Bakım Şampuanı (360 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","2","₺22,50","","Aktif"
"Elseve Komple Direnç Dökülme Karşıtı Şampuan (360 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","4","₺22,50","","Aktif"
"Paşabahçe Antimikrobiyal Su Bardağı (6'lı)","Ev & Yaşam","Mutfak Ürünleri","Oda Koşulları","","2","₺53,90","","Aktif"
"Züber Lokma Kakao Çekirdekli Çifte Kavrulmuş Fındık Ezmeli Meyve Topu (96 g)","Fit & Form","Bar","Oda Koşulları","365","12","₺15,75","","Aktif"
"Züber Lokma Orman Meyveli Fıstık Ezmeli Meyve Topu (96 g)","Fit & Form","Bar","Oda Koşulları","365","9","₺15,75","","Aktif"
"Züber Lokma Limonlu Badem Ezmeli Meyve Topu (96 g)","Fit & Form","Bar","Oda Koşulları","365","21","₺15,75","","Aktif"
"Le Petit Marseillais Akdeniz Çileği Bakım Sabunu (90 g)","Kişisel Bakım","Sabun","Oda Koşulları","","2","₺6,55","","Aktif"
"Eti Popkek Mini Bitter Çikolatalı (162 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","180","12","₺7,95","","Aktif"
"Sert Avokado (1 Adet)","Meyve & Sebze","Meyve","+8-12","7","40","₺10,95","","Aktif"
"Taze Zencefil (250 g)","Meyve & Sebze","Sebze","+4","7","6","₺18,45","","Aktif"
"Doğadan Yeşil Çay 21 Gün Challenge Paketi (21'li)","Su & İçecek","Çay","Oda Koşulları","1095","5","₺9,45","","Aktif"
"Ülker Caramio Karamel Dolgulu Baton Çikolata (32 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","14","₺2,25","","Aktif"
"Kedi Maması Kabı (250 ml)","Evcil Hayvan","Kedi","Oda Koşulları","","3","₺7,95","","İnaktif"
"Köpek Maması Kabı (1 L)","Evcil Hayvan","Köpek","Oda Koşulları","","3","₺15,95","","İnaktif"
"Oba Mac & Cheese (206 g)","Temel Gıda","Makarna","Oda Koşulları","365","13","₺8,75","","Aktif"
"Altınbaşak Çörekotlu & Kinoalı Mini (25 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","270","39","₺1,10","","Aktif"
"Capri-Sun Safari Multi Vitamin (200 ml)","Su & İçecek","Meyve Suyu","Oda Koşulları","365","6","₺2,65","","Aktif"
"Capri-Sun Safari Fruits (200 ml)","Su & İçecek","Meyve Suyu","Oda Koşulları","365","19","₺2,65","","Aktif"
"Golf Bravo Karadut Belçika Çikolatalı (100 ml)","Dondurma","Çubuk","-18","730","19","₺7,50","","Aktif"
"Golf Bravo Junior Antep Fıstık Badem (6'lı)","Dondurma","Çoklu","-18","730","2","₺21,55","","Aktif"
"Golf Maraşım Antep Fıstık Sade (500 ml)","Dondurma","Kutu","-18","730","5","₺19,95","","Aktif"
"Cook Alüminyum Folyo (10 m x 30 cm)","Ev Bakım","Mutfak","Oda Koşulları","","15","₺15,95","","Aktif"
"Fanta (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","270","7","₺4,15","","Aktif"
"Çerezza Kokteyl Mangal Mısır Cipsi (117 g)","Atıştırmalık","Cips","Oda Koşulları","120","15","₺6,59","","Aktif"
"Eti Burçak Tuzlu Zeytinli Bisküvi (91 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","270","0","₺2,50","","Aktif"
"Fellas Granola Fındık & Kakao (300 g)","Fit & Form","Granola","Oda Koşulları","365","15","₺34,90","","Aktif"
"Fellas Protein Granola Kırmızı Meyveler (270 g)","Fit & Form","Granola","Oda Koşulları","365","12","₺34,90","","Aktif"
"Eti Burçak Tuzlu Çörek Otlu Bisküvi (91 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","270","0","₺2,50","","Aktif"
"Bahçıvan Serpme Beyaz Peynir (220 g)","Süt & Kahvaltı","Peynir","+4","120","10","₺15,95","","Aktif"
"Ülker Dido Sütlü Çikolatalı Gofret (3 x 35 g)","Atıştırmalık","Gofret","+18 maksimum","365","1","₺6,00","","Aktif"
"Feast Pizza Mundo Sucuklu (450 g)","Yiyecek","Dondurulmuş","-18","360","9","₺23,70","","Aktif"
"Pernigotti IL Gelato Fındıklı Dondurma (100 ml)","Dondurma","Çubuk","-18","540","11","₺8,00","","Aktif"
"Kuzeyden Su (6 x 1 L)","Su & İçecek","Su","Oda Koşulları","","4","₺15,45","","İnaktif"
"Arko Men Banyo Tıraş Bıçağı (5'li)","Kişisel Bakım","Tıraş Malzemeleri","Oda Koşulları","1080","4","₺8,75","","Aktif"
"Paşabahçe Antimikrobiyal Aida Çay Tabağı (6'lı)","Ev & Yaşam","Mutfak Ürünleri","Oda Koşulları","","3","₺27,90","","Aktif"
"Paşabahçe Antimikrobiyal Aida Çay Bardağı (6'lı)","Ev & Yaşam","Mutfak Ürünleri","Oda Koşulları","","8","₺29,90","","Aktif"
"Magnum Double Karamel Gold La Casa De Papel (90 ml)","Dondurma","Çubuk","-18","720","0","₺7,50","","Aktif"
"Kumartaşlı Orta Boy Mavi Yumurta (10’lu)","Süt & Kahvaltı","Yumurta","Oda Koşulları","28","33","₺20,95","","Aktif"
"Scotch Brite Mikrofiber Toz Bezi (2'li)","Ev Bakım","Temizlik","Oda Koşulları","","3","₺19,95","","Aktif"
"Doritos Meksika Usulü Mısır Cipsi Süper Boy (107 g)","Atıştırmalık","Cips","Oda Koşulları","120","32","₺6,69","","Aktif"
"Ruffles Tayland Usulü Patates Cipsi Süper Boy (107 g)","Atıştırmalık","Cips","Oda Koşulları","150","13","₺6,69","","Aktif"
"Cerroni Cheddar Peyniri (150 g)","Süt & Kahvaltı","Peynir","+4","270","0","₺30,75","","Aktif"
"Cerroni Danish Blue Peyniri (100 g)","Süt & Kahvaltı","Peynir","+4","270","4","₺24,25","","Aktif"
"Cerroni Toz Parmesan Peyniri (80 g)","Süt & Kahvaltı","Peynir","+4","270","7","₺22,95","","Aktif"
"Cerroni Parmesan Peyniri (150 g)","Süt & Kahvaltı","Peynir","+4","270","3","₺38,95","","Aktif"
"Carte D'or Gold Dondurma Kaşığı (1 Adet)","Dondurma","Kutu","Oda Koşulları","","3","₺29,90","","Aktif"
"Yardım Maması (10 Kap)","Evcil Hayvan","Köpek","Oda Koşulları","","9860","₺8,00","","İnaktif"
"Yardım Maması (5 Kap)","Evcil Hayvan","Köpek","Oda Koşulları","","9987","₺4,00","","İnaktif"
"Yardım Maması (10 Kap)","Su - Getirsu","Su","Oda Koşulları","","10000","₺8,00","","İnaktif"
"Taciroğlu Klasik Keçi Peyniri (525 g)","Süt & Kahvaltı","Peynir","+4","360","4","₺56,95","","Aktif"
"Emotion Kadın Natural Breeze Deodorant Sprey (150 ml)","Kişisel Bakım","Deodorant","Oda Koşulları","","15","₺22,90","","Aktif"
"Emotion Kadın Natural Bloom Deodorant Sprey (150 ml)","Kişisel Bakım","Deodorant","Oda Koşulları","","18","₺22,90","","Aktif"
"Berrak Tatlı Dobipa Sos (310 g)","Süt & Kahvaltı","Çikolata & Ezme","Oda Koşulları","1080","3","₺15,95","","Aktif"
"Legurme Siyezli Ezogelin Çorbası (250 g)","Yiyecek","Hazır Yemek","Oda Koşulları","540","12","₺6,10","","Aktif"
"Legurme Barbunya Pilaki (400 g)","Yiyecek","Hazır Yemek","Oda Koşulları","1080","11","₺9,50","","Aktif"
"Legurme Nohutlu Bulgur Pilavı (250 g)","Yiyecek","Hazır Yemek","Oda Koşulları","540","12","₺7,80","","Aktif"
"Legurme Yeşil Mercimekli Bulgur Pilavı (250 g)","Yiyecek","Hazır Yemek","Oda Koşulları","540","12","₺7,80","","Aktif"
"Amoy Soya Sosu (750 ml)","Temel Gıda","Salça & Sos","Oda Koşulları","720","4","₺31,90","","Aktif"
"Do Vanilya & Kurabiye & Karamel Dondurma (440 ml)","Dondurma","Kutu","-18","180","11","₺30,00","","Aktif"
"Do Çikolatalı Dondurma (440 ml)","Dondurma","Kutu","-18","180","10","₺30,00","","Aktif"
"Do Ballı Muzlu Sütlü Dondurma (440 ml)","Dondurma","Kutu","-18","180","6","₺30,00","","Aktif"
"Marvel Okul Seti (4 Ürün)","Ev & Yaşam","Kırtasiye","Oda Koşulları","","2","₺10,95","","Aktif"
"Tikveşli %18 Yağlı Krema (200 ml)","Temel Gıda","Krema","Oda Koşulları","150","25","₺7,65","","Aktif"
"Simit Sarayı Dondurulmuş Simit (4'lü)","Fırından","Donuk Fırın","-18","365","16","₺12,95","","Aktif"
"Simit Sarayı Simit (100 g)","Fırından","Taze Fırın","-18","365","0","₺2,49","","Aktif"
"Kereviz Sapı (350 Gr)","Meyve & Sebze","Sebze","+4","10","11","₺6,95","","Aktif"
"Nestlé Damak Draje (50 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","9","₺9,50","2","Aktif"
"Simit Sarayı Dondurulmuş Dopdolu Kaşarlı Simit (4'lü)","Fırından","Donuk Fırın","-18","365","8","₺19,95","","Aktif"
"Simit Sarayı Patatesli Çıtır Çörek (520 g)","Fırından","Donuk Fırın","-18","365","3","₺24,95","","Aktif"
"Bref Color Aktiv Katı Tuvalet Bloğu Turkuaz (2'li)","Ev Bakım","Temizlik","Oda Koşulları","","54","₺23,50","","Aktif"
"Perwoll Hassas Sıvı Çamaşır Deterjanı Siyah 30 Yıkama (1800 ml)","Ev Bakım","Çamaşır","Oda Koşulları","","1","₺26,29","","Aktif"
"Perwoll Hassas Sıvı Çamaşır Deterjanı Renkli 30 Yıkama (1800 ml)","Ev Bakım","Çamaşır","Oda Koşulları","","0","₺26,29","","Aktif"
"Hertane Soğuk Sıkım Natürel Sızma Zeytinyağı (500 ml)","Temel Gıda","Sıvı Yağ","Oda Koşulları","720","2","₺54,95","","Aktif"
"Yeni Plastik Kasa (merkez depo)","","","","","20","₺0,20","","İnaktif"
"Tahta Palet (Palet)","","","","","25","₺1,50","","İnaktif"
"Pernigotti IL Gelato Sütlü Çikolata & Sade Dondurma (850 ml)","Dondurma","Kutu","-18","540","5","₺25,00","","Aktif"
"Golf Maraşım Çikolata Sade (500 ml)","Dondurma","Kutu","-18","730","11","₺19,95","","Aktif"
"Superfresh Cheddar Pizza Tost (250 g)","Yiyecek","Dondurulmuş","-18","360","13","₺14,20","","Aktif"
"SuperFresh Taş Fırın Gurme Pizza (355 g)","Yiyecek","Dondurulmuş","-18","360","9","₺18,60","","Aktif"
"SuperFresh Cips Patates (400 g)","Yiyecek","Dondurulmuş","-18","730","3","₺8,75","","Aktif"
"Domates Antalya (1 kg)","Meyve & Sebze","Sebze","+8-12","7","35","₺9,95","","Aktif"
"Kotex Ultra Ped Gece (16'lı)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","","21","₺29,90","","Aktif"
"Kotex Ultra Ped Uzun (18'li)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","","25","₺29,90","","Aktif"
"Kotex Ultra Ped Normal Boy (24'lü)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","","14","₺29,90","","Aktif"
"Patos Rolls Acılı Parti Boy (167 g)","Atıştırmalık","Cips","Oda Koşulları","180","12","₺8,39","","Aktif"
"Pernigotti IL Gelato Çilek & Sütlü Çikolata Dondurma (850 ml)","Dondurma","Kutu","-18","540","5","₺25,00","","Aktif"
"Taciroğlu Klasik Koyun Peyniri (525 g)","Süt & Kahvaltı","Peynir","+4","360","3","₺56,95","","Aktif"
"Taciroğlu Klasik İnek Peyniri (525 g)","Süt & Kahvaltı","Peynir","+4","360","1","₺47,75","","Aktif"
"Ananas (1 adet)","Meyve & Sebze","Meyve","+8-12","7","10","₺19,95","","Aktif"
"Erikli Su (6 x 1,5 L)","Su & İçecek","Su","Oda Koşulları","","3","₺17,60","","İnaktif"
"Ülker Dankek Tart Kek Çilekli (180 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","180","6","₺8,25","","Aktif"
"Karpuz (8 - 9 kg)","Meyve & Sebze","Meyve","Oda Koşulları","15","0","₺23,90","","Aktif"
"Colgate Avantajlı Ağız Bakım Paketi (2 Ürün)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","17","₺24,90","","Aktif"
"Ülker Haylayf Mini Bisküvi (150 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","360","14","₺3,60","","Aktif"
"Doğadan Probiyotikli Açai Ananaslı Yeşil Çay (14'lü)","Su & İçecek","Çay","Oda Koşulları","1095","11","₺15,45","","Aktif"
"Altınbaşak Labne Sandviç (55 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","180","10","₺3,30","","Aktif"
"Kuzeyden Su (2 x 5 L)","Su & İçecek","Su","Oda Koşulları","","1","₺11,95","","Aktif"
"Tat Konserve Mısır (3'lü)","Yiyecek","Konserve & Turşu","Oda Koşulları","730","7","₺18,65","","Aktif"
"Sinangil Un (2 kg)","Temel Gıda","Un","Oda Koşulları","365","4","₺15,75","","Aktif"
"Play-Doh Oyun Hamuru (Tekli)","Ev & Yaşam","Oyun & Oyuncak","Oda Koşulları","","5","₺6,90","","İnaktif"
"Le Petit Marseillais Akdeniz Çileği Duş Jeli (2 x 400 ml)","Kişisel Bakım","Duş & Banyo","Oda Koşulları","","6","₺39,90","","Aktif"
"Superfresh Fırından İnce Burgulu Simit (2'li)","Fırından","Taze Fırın","-18","365","1","₺4,75","","Aktif"
"Pringles & Coca-Cola Paketi (3 Ürün)","Atıştırmalık","Cips","Oda Koşulları","150","0","₺24,95","","Aktif"
"La Lorraine Peynirli Poğaça (75 g)","Fırından","Taze Fırın","-18","365","0","₺3,45","","Aktif"
"Menemen Paketi (2 Ürün)","Süt & Kahvaltı","Yumurta","Oda Koşulları","28","0","₺23,55","","İnaktif"
"Kuzeyden Su (6 x 1,5 L)","Su & İçecek","Su","Oda Koşulları","","5","₺16,95","","İnaktif"
"Jacobs Kapsül Espresso Yoğunluk 10 (10'lu)","Su & İçecek","Kahve","Oda Koşulları","365","5","₺42,95","","Aktif"
"Jacobs Monarch Gold (100 g)","Su & İçecek","Kahve","Oda Koşulları","730","6","₺31,25","","Aktif"
"Jacobs Kapsül Lungo Yoğunluk 6 (10'lu)","Su & İçecek","Kahve","Oda Koşulları","365","3","₺42,95","","Aktif"
"Krispi Nacho Peynirli (40 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","365","3","₺1,65","","Aktif"
"Esperro Lungo Kapsül Kahve (10'lu)","Su & İçecek","Kahve","Oda Koşulları","365","4","₺49,95","","Aktif"
"Esperro Medium Roast Kapsül Kahve (10'lu)","Su & İçecek","Kahve","Oda Koşulları","365","8","₺49,95","","Aktif"
"Erpiliç Piliç Cordon Bleu (300 g)","Yiyecek","Hazır Yemek","+4","35","0","₺16,45","","Aktif"
"Erpiliç Piliç Nugget (300 g)","Yiyecek","Hazır Yemek","+4","35","0","₺15,75","","Aktif"
"Erpiliç Piliç Şinitzel (300 g)","Yiyecek","Hazır Yemek","+4","35","0","₺15,75","","Aktif"
"Kotex Ultra Uzun & Ultra Gece (2 Ürün)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","","0","₺33,50","","Aktif"
"Kotex Ultra Normal & Ultra Gece (2 Ürün)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","","0","₺33,50","","Aktif"
"Vernel Max Konsantre Çamaşır Yumuşatıcı Fresh Control Çiçek Ferahlığı 50 Yıkama (1200 ml)","Ev Bakım","Çamaşır","Oda Koşulları","","18","₺30,49","","Aktif"
"Johnson's Baby Defter (1 Adet)","Ev & Yaşam","Kırtasiye","Oda Koşulları","","8","₺10,00","","Aktif"
"Dimes Karışık Nektar (200 ml)","Su & İçecek","Meyve Suyu","Oda Koşulları","450","10","₺2,45","","Aktif"
"Aynes Kolajen Çikolatalı Süt (180 ml)","Süt & Kahvaltı","Süt","Oda Koşulları","120","12","₺4,65","","Aktif"
"Aynes Kolajen Orman Meyveli Süt (180 ml)","Süt & Kahvaltı","Süt","Oda Koşulları","120","3","₺4,65","","Aktif"
"Ice Dream Karadut & Kavun Dondurma (450 ml)","Dondurma","Kutu","-18","730","9","₺20,00","","Aktif"
"Ice Dream Belçika Çikolatası & Vanilya Dondurma (450 ml)","Dondurma","Kutu","-18","730","12","₺20,00","","Aktif"
"Ice Dream Antep Fıstıklı Dondurma (450 ml)","Dondurma","Kutu","-18","730","5","₺20,00","","Aktif"
"Fabrikita Dulce De Leche Süt Karameli (120 g)","Süt & Kahvaltı","Çikolata & Ezme","Oda Koşulları","300","20","₺19,90","","Aktif"
"Ülker Kremalı Sandviç Bisküvi (61 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","20","₺1,75","","Aktif"
"S.Pellegrino Limonata (4 x 200 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","360","6","₺34,45","","Aktif"
"Aynes Kolajen Orman Meyveli Yoğurt (150 g)","Süt & Kahvaltı","Yoğurt","+4","21","9","₺6,25","","Aktif"
"Aynes Kolajen Çeşnili Ayran (1 L)","Su & İçecek","Ayran & Kefir","+4","21","12","₺9,95","","Aktif"
"Aynes Kolajen Çeşnili Ayran (330 ml)","Su & İçecek","Ayran & Kefir","+4","21","0","₺4,95","","Aktif"
"Banvit Isıl İşlem Görmüş Hindi Mangal Sucuk (300 g)","Süt & Kahvaltı","Şarküteri","+4","92","0","₺27,45","2","Aktif"
"İçim Tereyağı (500 g)","Süt & Kahvaltı","Tereyağ & Margarin","+4","180","3","₺44,65","","Aktif"
"Ülker Hanımeller Mahlepli Tuzlu Kurabiye (81 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","270","40","₺2,75","","Aktif"
"Alo Platinum Sıvı Çamaşır Deterjanı Fairy Etkili Renkliler İçin 22 Yıkama (1430 ml)","Ev Bakım","Çamaşır","Oda Koşulları","","6","₺22,99","","Aktif"
"Red Globe Üzüm (500 g)","Meyve & Sebze","Meyve","+8-12","7","0","₺5,75","","Aktif"
"Yerli Tohum Vitrin Domates (250 g)","Meyve & Sebze","Sebze","+8-12","12","0","₺7,25","","Aktif"
"İçim Taze Kaşar Peyniri (700 g)","Süt & Kahvaltı","Peynir","+4","180","19","₺38,50","","Aktif"
"Faruk Malhan Çay Bardağı ve Tabak Seti (1 Adet)","Su & İçecek","Çay","Oda Koşulları","","0","₺24,90","","Aktif"
"Doğadan Bez Çanta (1 Adet)","Su & İçecek","Çay","Oda Koşulları","","0","₺10,00","","Aktif"
"Federal Coffee Guatemala Filtre Kahve (250 g)","Su & İçecek","Kahve","Oda Koşulları","180","3","₺54,90","","Aktif"
"Yerli Tohum Kallavi Kavun (3 - 3,5 kg)","Meyve & Sebze","Meyve","+8-12","15","0","₺19,95","","Aktif"
"Quru Kurutulmuş Ananas (18 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","540","10","₺7,65","","Aktif"
"Quru Kurutulmuş Çilek (19 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","540","10","₺7,65","","Aktif"
"Cosby Fun Kızlara Özel (20 g)","Atıştırmalık","Çikolata","Oda Koşulları","360","48","₺3,85","","Aktif"
"Cosby Fun Erkeklere Özel (20 g)","Atıştırmalık","Çikolata","Oda Koşulları","360","64","₺3,85","","Aktif"
"Ülker Kremalı Sandviç Bisküvi (4 x 61 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","7","₺4,90","","Aktif"
"Bebeto CoolBeans Berry Fliptop (30 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","540","0","₺1,65","","Aktif"
"Bebeto Super Belts (75 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","540","1","₺3,85","","Aktif"
